Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:January:2025 10:00:00,WindowsServerDiskSpaceUsage,10.111.66.120,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,0.10 GB,D:,0.01 GB,0.09 GB
02:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.5.63,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,8 Core,,456.59 GB,/,22.83 GB,433.76 GB
03:January:2025 10:00:00,WindowsServerMemoryUsage,172.16.0.91,DR-Trading-Systems,HR,Critical 95%,Memory,4 Core,7.39 GB,,,0.37 GB,7.02 GB
04:January:2025 10:00:00,WindowsServerCpuUsage,172.16.5.61,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
05:January:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.5.62,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,3.81 GB,D:,0.38 GB,3.43 GB
06:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.5.66,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,2 Core,,177.05 GB,/,8.85 GB,168.20 GB
07:January:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.143,DR-Trading-Systems,HR,Critical 95%,Memory,8 Core,31.26 GB,,,1.56 GB,29.70 GB
08:January:2025 10:00:00,WindowsServerCpuUsage,172.16.1.99,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,4 Core,,,,2.00%,98.00%
09:January:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.2.217,STX-Focus,BackOffice,Critical 90%,Disk,4 Core,,80.15 GB,D:,8.02 GB,72.14 GB
10:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.1.93,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,47.93 GB,/,2.40 GB,45.53 GB
11:January:2025 10:00:00,WindowsServerMemoryUsage,172.16.2.213,DR-Trading-Systems,HR,Critical 95%,Memory,8 Core,15.72 GB,,,0.79 GB,14.93 GB
12:January:2025 10:00:00,WindowsServerCpuUsage,172.16.4.4,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
13:January:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.4.3,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,97.87 GB,D:,9.79 GB,88.08 GB
14:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.1.172,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,8 Core,,87.00 GB,/,4.35 GB,82.65 GB
15:January:2025 10:00:00,WindowsServerMemoryUsage,172.16.0.142,DR-Trading-Systems,HR,Critical 95%,Memory,8 Core,11.68 GB,,,0.58 GB,11.10 GB
16:January:2025 10:00:00,WindowsServerCpuUsage,172.16.0.143,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
17:January:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.3.202,STX-Focus,BackOffice,Critical 90%,Disk,2 Core,,1.05 GB,D:,0.10 GB,0.94 GB
18:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.1.88,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,2 Core,,23.45 GB,/,1.17 GB,22.28 GB
19:January:2025 10:00:00,WindowsServerMemoryUsage,172.16.3.206,DR-Trading-Systems,HR,Critical 95%,Memory,4 Core,7.75 GB,,,0.39 GB,7.36 GB
20:January:2025 10:00:00,WindowsServerCpuUsage,172.16.1.89,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,4 Core,,,,2.00%,98.00%
21:January:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.1.77,STX-Focus,BackOffice,Critical 90%,Disk,4 Core,,47.93 GB,D:,4.79 GB,43.13 GB
22:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.3.207,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,79.12 GB,/,3.96 GB,75.17 GB
23:January:2025 10:00:00,WindowsServerMemoryUsage,172.16.1.149,DR-Trading-Systems,HR,Critical 95%,Memory,4 Core,15.61 GB,,,0.78 GB,14.83 GB
24:January:2025 10:00:00,WindowsServerCpuUsage,172.16.0.14,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,16 Core,,,,2.00%,98.00%
25:January:2025 10:00:00,WindowsServerDiskSpaceUsage,172.16.0.10,STX-Focus,BackOffice,Critical 90%,Disk,32 Core,,1.91 GB,D:,0.19 GB,1.72 GB
26:January:2025 10:00:00,LinuxServerRootDiskSpace,172.16.6.43,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,117.56 GB,/,5.88 GB,111.68 GB
27:January:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.156,DR-Trading-Systems,HR,Critical 95%,Memory,12 Core,23.19 GB,,,1.16 GB,22.03 GB
28:January:2025 10:00:00,WindowsServerCpuUsage,192.168.176.151,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,16 Core,,,,2.00%,98.00%
29:January:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.1.141,STX-Focus,BackOffice,Critical 90%,Disk,16 Core,,99.95 GB,D:,10.00 GB,89.96 GB
30:January:2025 10:00:00,LinuxServerRootDiskSpace,192.168.1.171,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,16 Core,,617.34 GB,/,30.87 GB,586.47 GB
31:January:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.145,DR-Trading-Systems,HR,Critical 95%,Memory,16 Core,62.76 GB,,,3.14 GB,59.62 GB
01:February:2025 10:00:00,WindowsServerCpuUsage,192.168.176.146,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,24 Core,,,,2.00%,98.00%
02:February:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.1.226,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,96.66 GB,D:,9.67 GB,86.99 GB
03:February:2025 10:00:00,LinuxServerRootDiskSpace,192.168.1.165,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,4 Core,,69.94 GB,/,3.50 GB,66.44 GB
04:February:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.172,DR-Trading-Systems,HR,Critical 95%,Memory,24 Core,94.24 GB,,,4.71 GB,89.53 GB
05:February:2025 10:00:00,WindowsServerCpuUsage,192.168.1.173,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,8 Core,,,,2.00%,98.00%
06:February:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.1.176,STX-Focus,BackOffice,Critical 90%,Disk,16 Core,,3.81 GB,D:,0.38 GB,3.43 GB
07:February:2025 10:00:00,LinuxServerRootDiskSpace,192.168.1.227,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,8 Core,,372.26 GB,/,18.61 GB,353.65 GB
08:February:2025 10:00:00,WindowsServerMemoryUsage,192.168.176.155,DR-Trading-Systems,HR,Critical 95%,Memory,16 Core,109.99 GB,,,5.50 GB,104.49 GB
09:February:2025 10:00:00,WindowsServerCpuUsage,192.168.1.159,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,24 Core,,,,2.00%,98.00%
10:February:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.176.154,STX-Focus,BackOffice,Critical 90%,Disk,24 Core,,299.85 GB,D:,29.99 GB,269.87 GB
11:February:2025 10:00:00,LinuxServerRootDiskSpace,192.168.176.153,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,8 Core,,117.19 GB,/,5.86 GB,111.33 GB
12:February:2025 10:00:00,WindowsServerMemoryUsage,192.168.1.59,DR-Trading-Systems,HR,Critical 95%,Memory,12 Core,47.96 GB,,,2.40 GB,45.56 GB
13:February:2025 10:00:00,WindowsServerCpuUsage,172.16.0.217,STX-IOB-WindowsDB,Product-team,Critical 98%,CPU,12 Core,,,,2.00%,98.00%
14:February:2025 10:00:00,WindowsServerDiskSpaceUsage,192.168.176.244,STX-Focus,BackOffice,Critical 90%,Disk,8 Core,,175.78 GB,D:,17.58 GB,158.20 GB
15:February:2025 10:00:00,LinuxServerRootDiskSpace,172.16.0.244,Cizentrix FTP,Infra-Team-Cezentrix,Critical 95%,Disk,16 Core,,199.40 GB,/,9.97 GB,189.43 GB
