Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:October:2025 00:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.32GB 
  ServerDetails",90.00%
01:October:2025 00:45:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.83%
01:October:2025 01:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.32GB 
  ServerDetails",90.00%
01:October:2025 01:11:41,Critical 80% - Disk,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Disk,16 Core,,617.34 GB,/,123.47 GB,493.87 GB
01:October:2025 01:11:41,Critical 80% - Disk,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Disk,16 Core,,617.34 GB,/,123.47 GB,493.87 GB
01:October:2025 01:36:41,Critical 80% - Disk,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Disk,16 Core,,617.34 GB,/,123.47 GB,493.87 GB
01:October:2025 01:36:41,Critical 80% - Disk,192.168.1.171,Stoxkart-RupeeSeed,Product-team,Critical,Disk,16 Core,,617.34 GB,/,123.47 GB,493.87 GB
01:October:2025 01:45:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.79%
01:October:2025 02:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.32GB 
  ServerDetails",90.00%
01:October:2025 02:45:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.85%
01:October:2025 03:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 03:45:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,97.83%
01:October:2025 04:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 04:29:53,Critical 90% - CPU,172.16.0.119,StoxKart,Compliance,Critical,CPU,8 Core,,,,2.05%,97.95%
01:October:2025 04:34:53,Critical 90% - CPU,172.16.0.119,StoxKart,Compliance,Critical,CPU,8 Core,,,,6.07%,93.93%
01:October:2025 04:45:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.10%
01:October:2025 05:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 05:45:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.66%
01:October:2025 06:05:11,Critical 90% - Memory,172.16.0.47,BO,BackOffice,Critical,Memory,N/A,N/A,,,N/A,96.88%
01:October:2025 06:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 07:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 08:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 09:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 10:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 11:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 12:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 13:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 14:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 15:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 16:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 17:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
01:October:2025 18:10:27,Critical 90% - Disk,172.16.0.47,BO,BackOffice,Critical,Disk,N/A,,N/A,D:,"92.34GB 
  ServerDetails",90.00%
