Date,Alert Name,Instance,Job,Group,Severity,Vital,CPU Core,Memory Total,Total Disk Size,Volume,Free,Used
01:January:2025 10:00:00,Critical 90% - Disk,10.111.66.120,STX-Focus,BackOffice,Critical,Disk,8 Core,,0.10 GB,D:,0.01 GB,0.09 GB
02:January:2025 10:00:00,Critical 95% - Disk,172.16.0.233,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,16 Core,,49.98 GB,/,2.50 GB,47.48 GB
03:January:2025 10:00:00,Critical 95% - Memory,172.16.5.60,DR-Trading-Systems,HR,Critical,Memory,8 Core,23.37 GB,,,1.17 GB,22.20 GB
04:January:2025 10:00:00,Critical 98% - CPU,172.16.5.63,STX-IOB-WindowsDB,Product-team,Critical,CPU,8 Core,,,,2.00%,98.00%
05:January:2025 10:00:00,Critical 90% - Disk,172.16.0.91,STX-Focus,BackOffice,Critical,Disk,4 Core,,48.98 GB,D:,4.90 GB,44.08 GB
06:January:2025 10:00:00,Critical 95% - Disk,172.16.5.61,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,8 Core,,456.59 GB,/,22.83 GB,433.76 GB
07:January:2025 10:00:00,Critical 95% - Memory,172.16.5.62,DR-Trading-Systems,HR,Critical,Memory,8 Core,15.51 GB,,,0.78 GB,14.74 GB
08:January:2025 10:00:00,Critical 98% - CPU,172.16.5.66,STX-IOB-WindowsDB,Product-team,Critical,CPU,2 Core,,,,2.00%,98.00%
09:January:2025 10:00:00,Critical 90% - Disk,192.168.1.143,STX-Focus,BackOffice,Critical,Disk,8 Core,,299.85 GB,D:,29.99 GB,269.87 GB
10:January:2025 10:00:00,Critical 95% - Disk,172.16.1.99,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,4 Core,,80.15 GB,/,4.01 GB,76.15 GB
11:January:2025 10:00:00,Critical 95% - Memory,172.16.2.217,DR-Trading-Systems,HR,Critical,Memory,4 Core,7.76 GB,,,0.39 GB,7.37 GB
12:January:2025 10:00:00,Critical 98% - CPU,172.16.1.93,STX-IOB-WindowsDB,Product-team,Critical,CPU,4 Core,,,,2.00%,98.00%
13:January:2025 10:00:00,Critical 90% - Disk,172.16.2.213,STX-Focus,BackOffice,Critical,Disk,8 Core,,1.90 GB,D:,0.19 GB,1.71 GB
14:January:2025 10:00:00,Critical 95% - Disk,172.16.4.4,Cizentrix FTP,Infra-Team-Cezentrix,Critical,Disk,8 Core,,49.89 GB,/,2.49 GB,47.40 GB
15:January:2025 10:00:00,Critical 95% - Memory,172.16.4.3,DR-Trading-Systems,HR,Critical,Memory,8 Core,31.34 GB,,,1.57 GB,29.77 GB
